Course Title,Provider,Academic Year,Subjects,Study Options,Duration,Location
Creative Writing,University of Greenwich,2024,"Creative writing, Literature, European languages, Mandarin, Linguistics, Screenwriting, Poetry",Part-time,"{'quantity': 6, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University of Greenwich (Greenwich Campus), Old Royal Naval College, , London, SE10 9LS, Unknown"
Mathematics,"Birkbeck, University of London",2024,Mathematics,Part-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Malet Street, None, London, WC1E 7HX, Unknown"
Mathematics,Cardiff University,2024,Mathematics,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site - Cardiff, 30-36 Newport Road, None, Cardiff, CF24 0DE, Unknown"
Accounting and Finance,"Birkbeck, University of London",2024,"Accounting, Finance",Part-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Malet Street, None, London, WC1E 7HX, Unknown"
International Relations,University of Birmingham,2024,International relations,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Academic and Student Division, None, Birmingham, B15 2TT, Unknown"
Sports Science (Coaching & Performance Analysis) (Top-up),SMB College Group,2024,"Sports coaching, Sports studies, Sports science",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Brooksby - Specialist Land-based Campus, Brooksby, None, Melton Mowbray, LE14 2LJ, Unknown"
Anthropology and Sociology,"Goldsmiths, University of London",2024,"Anthropology, Social anthropology, Sociology, Cultural studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Goldsmiths, University of London, None, London, SE14 6NW, Unknown"
Graphic Design,University of Chester,2024,"Graphic design, Computer graphics, Graphic arts, Media design, Digital Art, Creative arts",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Chester, Parkgate Road, None, Chester, CH1 4BJ, Unknown"
Archaeology/Environmental Geoscience,University of Glasgow,2024,"Archaeology, Earth sciences, Humanities, Archaeological method, Bioarchaeology, Post-excavation studies, Archaeometallurgy, Byzantine archaeology, Classical archaeology, Greek archaeology, Roman archaeology, Archaeological conservation, Egyptology, Environmental archaeology, European archaeology, Field archaeology, Funerary archaeology, Industrial archaeology, Landscape archaeology, Marine archaeology, Medieval archaeology, Palaeography, Science, Geochemistry",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Gilmorehill (Main) Campus, University Of Glasgow, , Glasgow, G12 8QQ, Unknown"
Accounting and Statistics,University of Glasgow,2024,"Accounting, Statistics",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Gilmorehill (Main) Campus, University Of Glasgow, , Glasgow, G12 8QQ, Unknown"
Materials Science and Engineering (with placement year),Loughborough University,2024,"Materials science, Engineering",Sandwich,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Ashby Road, None, Loughborough, LE11 3TU, Unknown"
Business Management: International Business,Richmond American University London,2024,"International business studies, Business administration",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Chiswick Park Campus, Building 12, Chiswick Park, None, London, W4 5YA, Unknown"
Marine Biology (including a Foundation Year),University of Chester,2024,"Biology, Marine biology, Hydrobiology, Freshwater biology, Fish biology, Applied biology, Animal science, Science",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Chester, Parkgate Road, None, Chester, CH1 4BJ, Unknown"
Journalism,Coventry University,2024,"Journalism, Media studies, Broadcast journalism, Media management, Communication studies, Broadcasting, Communication skills, Audio-visual studies, Communication design, Visual communication, Radio journalism, Sports journalism, Television journalism, Media production, Multimedia studies, Video production, Publishing",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Priory Street, None, Coventry, CV1 5FB, Unknown"
Psychology,"Birkbeck, University of London",2024,"Psychology, Neurobiology, Child development, Developmental psychology, Social psychology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Malet Street, None, London, WC1E 7HX, Unknown"
Acting (including a Foundation Year),University of Chester,2024,"Acting, Drama studies, Theatre studies, Performing arts, Drama in education, Voice studies, Musical theatre, Theatre production, Applied Theatre, Filmmaking, Stage lighting, Radio studies, Entrepreneurial studies, Social Media",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Chester, Parkgate Road, None, Chester, CH1 4BJ, Unknown"
Biomedical Engineering,University of East London,2024,Biomedical engineering,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Docklands Campus, University Way, , London, E16 2RD, Unknown"
Information Technology,University of Bedfordshire,2024,"Information technology, Information science, Information studies, Information systems, Computer information systems, Computer systems engineering, Applied computer studies, Computer networking, Computer networks, Computer languages, Computer programming, Computer communication, Computer applications, Computer science, Computer studies, Computers, Data processing, Data communications, Database studies, Software, Software engineering",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Luton Campus, Park Square, , Luton, LU1 3JU, Unknown"
Earth Sciences,The University of Edinburgh,2024,"Geology, Earth sciences, Natural science, Physical science, Environment, Science, Applied geology, Engineering geology, Exploration geology, Physical geography, Environmental sustainability, Environmental conservation, Environmental studies, Climate studies, Climate Change, Hydrogeology, Applied mathematics, Geophysics, Geographical information systems, Data analysis, Land resource management, Natural resources, Geological data analysis, Environmental science, Environmental protection, Palaeontology, Mining geology, Oceanography, Renewable energy, Energy conservation",Full-time,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Central area campus, George Square, None, Edinburgh, EH8 9JZ, Unknown"
Applied Theatre (Community and Education),Birmingham City University,2024,"Drama studies, Performing arts, Dance, Music, Theatre studies, Acting, Visual arts, Community arts, Creative arts, Entertainment management, Humanities, Media studies, Social sciences, International studies, Applied social sciences, Social studies, Community development, Community studies, Youth studies, Child studies, Sociology, Youth development, Educational sociology, Personal development, Teaching, Teaching (primary teaching), Teaching (FE teaching), Teaching (secondary teaching), Drama (primary teaching), Dance (primary teaching), Creative arts (primary teaching), Environment (primary teaching), Humanities (primary teaching), Music (primary teaching), Nursery schools (primary teaching), Adult education, Community education, Careers guidance, Life skills, Continuing education, Special needs, Teacher education, Training, Playwork",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","School of Acting, Bournville, Ruskin Hall, Linden Road, Bournville, None, Birmingham, B30 1JX, Unknown"
Biochemistry,University of Bedfordshire,2024,"Biochemistry, Biological sciences, Chemistry, Applied biochemistry, Clinical biochemistry, Biology, Applied biology, Applied chemistry, Applied science, Science, Cell biology, Human biology, Human physiology, Applied microbiology, Microbiology, Molecular genetics, Immunology, Pharmacology, Biotechnology, Genetic engineering",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Luton Campus, Park Square, , Luton, LU1 3JU, Unknown"
Chemistry,Lancaster University,2024,Chemistry,Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Admissions, , Lancaster, LA1 4YW, Unknown"
Sociology,University of Derby,2024,"Global Development, Urban development, Political sociology, Religious sociology, Sociology, Applied sociology, Social sciences, Developmental sociology, Applied social sciences",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Kedleston Road, None, Derby, DE22 1GB, Unknown"
International Business,"Bristol, University of the West of England",2024,International business studies,Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Frenchay Campus, Coldharbour Lane, , Bristol, BS16 1QY, Unknown"
Sport Science (Sports Coaching) (Top up),Grwp Llandrillo Menai,2024,"Sports studies, Sports coaching, Exercise science",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Coleg Llandrillo - Rhos on Sea, Llandudno Road, None, Colwyn Bay, LL28 4HZ, Unknown"
Biomedical Engineering,University of Reading,2024,"Biomedical engineering, Biomedical sciences, Biology, Technology, Medical technology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Room 208, , Reading, RG6 6AH, Unknown"
Mathematics,University of Bristol,2024,Mathematics,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Beacon House, , Bristol, BS8 1QU, Unknown"
Media & Film Studies and Screenwriting,University of Worcester,2024,"Media studies, Film studies, Screenwriting",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Henwick Grove, None, Worcester, WR2 6AJ, Unknown"
Photography,Coleg Sir Gar,2024,"Photography, Audio-visual studies, Broadcasting, Cinematics, Cinematology, Commercial Photography, Communication design, Communication skills, Community arts, Creative arts, Curating, Decorative art, Design history, Design management, Design theory, Digital Art, Display design, Editorial design, Exhibition design, Film production, Lighting Design, Live event production, Mass communication, Media design, Medical photography, Spatial design, Stage lighting, User centred design, Video production, Virtual production, Visual arts, Visual communication, Visual Effects / VFX, Visualization",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Carmarthen School of Art, Jobs Well Road, None, Carmarthen, SA31 3HY, Unknown"
Adult Nursing,Kingston University,2024,"Cancer nursing, Nursing, Nursing (adult), District nursing, Nursing education, Home nursing, Community health, Primary health care, Public health, Health visiting, Medicine and health studies, Health studies, Nursing administration",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Yorkon Building, Kingston upon Thames, London, KT2 7LB, Unknown"
Fine Art and Contemporary Arts Practice (Top-up) (Bristol School of Art),SGS (South Gloucestershire and Stroud College),2024,"Fine art, Arts and crafts, Arts, Creative arts",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Bristol School of Art, Queens Road, None, Bristol, BS8 1PX, Unknown"
Music Education,University of Aberdeen,2024,"Music, Music (secondary teaching), Teaching (secondary teaching), Teaching, Area studies, languages and literature, Arts and crafts",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University Office, King's College, Aberdeen, AB24 3FX, Unknown"
Nutrition,Middlesex University,2024,Nutrition,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Hendon Campus, The Burroughs, , London, NW4 4BT, Unknown"
Business and Management,Aberystwyth University,2024,"Business studies, Management, Marketing, Entrepreneurial studies, Human resource management, Finance, Accounting, Operations management, Strategic management",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site (Aberystwyth), Penglais Campus, , Aberystwyth, SY23 3DD, Unknown"
Architecture,Cardiff University,2024,Architecture,Sandwich,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site - Cardiff, 30-36 Newport Road, None, Cardiff, CF24 0DE, Unknown"
